2017-05-16 16:50:42 INFO  Homepage:37 - clicking on signin:[[ChromeDriver: chrome on XP (071ea84524e795a4417599b95f52e514)] -> xpath: //*[@id='header']/div[2]/div/div/nav/div[1]/a]
2017-05-16 16:50:50 INFO  Homepage:47 - alert text is:Authentication failed.
2017-05-16 18:25:59 INFO  TC001_verifylogin_withinvalidcredentials:23 - ===================Starting the browser===========
2017-05-16 18:25:59 INFO  Homepage:37 - clicking on signin:[[ChromeDriver: chrome on XP (7125cd7e3217084e57a4f71c88a31fee)] -> xpath: //a[@class='signinLink'] ]
2017-05-16 18:27:58 INFO  TC001_verifylogin_withinvalidcredentials:23 - ===================Starting the browser===========
2017-05-16 18:27:58 INFO  Homepage:39 - clicking on signin:[[ChromeDriver: chrome on XP (7c6158e28c47b168440990e53f30e0ce)] -> xpath: //a[@class='signinLink'] ]
2017-05-16 18:31:00 INFO  TC001_verifylogin_withinvalidcredentials:23 - ===================Starting the browser===========
2017-05-16 18:31:01 INFO  Homepage:39 - clicking on signin:[[ChromeDriver: chrome on XP (df10885915742bb72eacbb28c883b8d4)] -> xpath: //a[@class='signinLink'] ]
2017-05-16 18:33:05 INFO  TC001_verifylogin_withinvalidcredentials:23 - ===================Starting the browser===========
2017-05-16 18:33:06 INFO  Homepage:39 - clicking on signin:[[ChromeDriver: chrome on XP (ca71396e23c824d606b5762875d64f98)] -> xpath: //a[@class='signinLink'] ]
2017-05-16 18:45:35 INFO  TC001_verifylogin_withinvalidcredentials:23 - ===================Starting the browser===========
2017-05-16 18:45:35 INFO  Homepage:39 - clicking on signin:[[ChromeDriver: chrome on XP (7ae81abf2ebd7bcc2d36a707939a4f71)] -> xpath: //div[@id='navbar']/ul/li[1]/a ]
2017-05-16 18:47:09 INFO  TC001_verifylogin_withinvalidcredentials:23 - ===================Starting the browser===========
2017-05-16 18:47:09 INFO  Homepage:39 - clicking on signin:[[ChromeDriver: chrome on XP (4260362a060e3160b4abe4e2027c8573)] -> xpath: //div[@id='navbar']/ul/li[1]/a ]
2017-05-16 18:51:16 INFO  TC001_verifylogin_withinvalidcredentials:23 - ===================Starting the browser===========
2017-05-16 18:51:16 INFO  Homepage:42 - clicking on signin:[[ChromeDriver: chrome on XP (8cd3244979812edcb28ac4209174e6ae)] -> xpath: //div[@id='navbar']/ul/li[1]/a ]
2017-05-16 18:55:54 INFO  TC001_verifylogin_withinvalidcredentials:23 - ===================Starting the browser===========
2017-05-16 18:55:54 INFO  Homepage:45 - clicking on signin:[[ChromeDriver: chrome on XP (740dab12199013b3dfc4a52798a93fa5)] -> xpath: //div[@id='navbar']/ul/li[1]/a ]
2017-05-16 18:57:40 INFO  TC001_verifylogin_withinvalidcredentials:23 - ===================Starting the browser===========
2017-05-16 18:57:40 INFO  Homepage:45 - clicking on signin:[[ChromeDriver: chrome on XP (d430f447561037b80f0a55dd83ac4c6a)] -> xpath: //div[@id='navbar']/ul/li[1]/a ]
2017-05-16 19:00:40 INFO  TC001_verifylogin_withinvalidcredentials:23 - ===================Starting the browser===========
2017-05-16 19:00:41 INFO  Homepage:45 - clicking on signin:[[ChromeDriver: chrome on XP (b7646419f28fa617f575d7c0a2da6836)] -> xpath: //div[@id='navbar']/ul/li[1]/a ]
2017-05-16 19:03:13 INFO  TC001_verifylogin_withinvalidcredentials:23 - ===================Starting the browser===========
2017-05-16 19:03:14 INFO  Homepage:46 - clicking on signin:[[ChromeDriver: chrome on XP (24f6e7e30aebebf62f5ae9c8d85ee612)] -> xpath: //div[@id='navbar']/ul/li[1]/a ]
2017-05-17 12:03:08 INFO  TC001_verifylogin_withinvalidcredentials:23 - ===================Starting the browser===========
2017-05-17 12:03:08 INFO  Homepage:45 - clicking on signin:[[ChromeDriver: chrome on XP (376dfa2334a78152d79cfc35befd76b6)] -> xpath: //a[@class='signinLink'] ]
2017-05-17 12:09:36 INFO  Homepage:45 - clicking on signin:[[ChromeDriver: chrome on XP (d6e917900d7572edef7f4b70703d936f)] -> xpath: //a[@class='signinLink'] ]
2017-05-17 12:11:12 INFO  Homepage:45 - clicking on signin:[[OperaDriver: chrome on XP (42f6bce609d60fe96ef8d8c61e1951ec)] -> xpath: //a[@class='signinLink'] ]
2017-05-17 12:20:04 INFO  TC001_verifylogin_withinvalidcredentials:23 - ===================Starting the browser===========
2017-05-17 12:20:04 INFO  Homepage:45 - clicking on signin:[[OperaDriver: chrome on XP (b0dd7f46b58c9f17d9f8a3883a1b9a5f)] -> xpath: //a[@class='signinLink'][text()='Log In'] ]
